Brewer,Drinker,Drink,Drink price,date,Total
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Lawrence Jones;2005-06-10;3537902156094842,Gin & Tonic small,400,2019-9-10,3400
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Dr. Douglas King;1974-03-16;3581139211845125,Ale large,600,2019-9-10,4000
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Dr. Martyn Lawrence;1979-06-01;30351135561323,Ale small,300,2019-9-10,4300
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Anna Buckley-Patel;1967-09-25;6011330523439128,Champagne small,400,2019-9-10,4700
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Jemma Davison;1982-06-25;346012372292431,Champagne large,800,2019-9-10,5500
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Frances Watkins;1988-08-31;2222981270340614,Prosecco large,600,2019-9-10,6100
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Ms. Jean Johnson;1996-04-22;3599621831162106,Champagne small,400,2019-9-10,6500
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2019-9-10,7300
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Mr. Keith Hilton;1997-09-17;3585697723779617,Gin & Tonic large,800,2019-9-10,8100
Dr. Leanne Pearce;2000-06-19;4362495062180576102,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Ale large,600,2019-9-10,8700
Frances Watkins;1988-08-31;2222981270340614,Michelle Waters;1984-01-14;6545699347248609,Diet Coke small,200,2019-11-29,200
Frances Watkins;1988-08-31;2222981270340614,Dr. Douglas King;1974-03-16;3581139211845125,Diet Coke large,400,2019-11-29,600
Frances Watkins;1988-08-31;2222981270340614,Ms. Elizabeth French;1974-12-19;630456409964,Orange cordial large,400,2019-11-29,1000
Frances Watkins;1988-08-31;2222981270340614,Rachael Lewis;1984-07-20;377222245845446,Lemonade small,200,2019-11-29,1200
Frances Watkins;1988-08-31;2222981270340614,Mohammad Jones-Wood;1963-05-21;3539333926037846,Sparkling water large,400,2019-11-29,1600
Frances Watkins;1988-08-31;2222981270340614,Richard Parsons;1951-04-21;4596293855263047603,Strawberry milkshake large,400,2019-11-29,2000
Frances Watkins;1988-08-31;2222981270340614,Karen Thompson;1976-05-29;4879429054644775960,Banana milkshake large,400,2019-11-29,2400
Frances Watkins;1988-08-31;2222981270340614,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Water small,200,2019-11-29,2600
Frances Watkins;1988-08-31;2222981270340614,Neil Walters;1991-02-14;30153298849283,Sprite small,200,2019-11-29,2800
Frances Watkins;1988-08-31;2222981270340614,Ryan Chapman;1981-12-13;3537198259397469,Cloudy lemonade small,200,2019-11-29,3000
Frances Watkins;1988-08-31;2222981270340614,Miss Abbie Smith;1954-09-05;4128358166770,Coke small,200,2019-11-29,3200
Frances Watkins;1988-08-31;2222981270340614,Rachael Lewis;1984-07-20;377222245845446,Lemonade small,200,2019-11-29,3400
Frances Watkins;1988-08-31;2222981270340614,Marian Lane;1980-04-23;373696105572428,Sprite large,400,2019-11-29,3800
Frances Watkins;1988-08-31;2222981270340614,Gareth Watson;1968-09-14;060453409181,Coke small,200,2019-11-29,4000
Frances Watkins;1988-08-31;2222981270340614,Dr. Caroline Morris;1967-06-03;4982238351886255393,Fanta large,400,2019-11-29,4400
Frances Watkins;1988-08-31;2222981270340614,Gareth Watson;1968-09-14;060453409181,Coke small,200,2019-11-29,4600
Frances Watkins;1988-08-31;2222981270340614,Michelle Waters;1984-01-14;6545699347248609,Diet Coke small,200,2019-11-29,4800
Frances Watkins;1988-08-31;2222981270340614,Iain Barker;1997-07-21;3534790658775791,Strawberry milkshake small,200,2019-11-29,5000
Frances Watkins;1988-08-31;2222981270340614,Gareth Watson;1968-09-14;060453409181,Sparkling water small,200,2019-11-29,5200
Frances Watkins;1988-08-31;2222981270340614,Benjamin Morgan;1960-09-26;676301009368,Water large,400,2019-11-29,5600
Frances Watkins;1988-08-31;2222981270340614,Frances Watkins;1988-08-31;2222981270340614,Sparkling water small,200,2019-11-29,5800
Ruth Russell-Harris;1973-03-29;4730875456940300910,Jack Harvey;1998-05-22;4946896571299186780,Prosecco small,300,2019-9-28,300
Ruth Russell-Harris;1973-03-29;4730875456940300910,Joan Foster;2000-07-23;30467564114333,Pale ale small,300,2019-9-28,600
Ruth Russell-Harris;1973-03-29;4730875456940300910,Dr. Martyn Lawrence;1979-06-01;30351135561323,Scotch small,300,2019-9-28,900
Ruth Russell-Harris;1973-03-29;4730875456940300910,Dr. Martyn Lawrence;1979-06-01;30351135561323,Ale small,300,2019-9-28,1200
Ruth Russell-Harris;1973-03-29;4730875456940300910,Terence Hall;1982-04-23;4440881107798798,Jack and Coke large,600,2019-9-28,1800
Ruth Russell-Harris;1973-03-29;4730875456940300910,Richard Parsons;1951-04-21;4596293855263047603,Ale small,300,2019-9-28,2100
Ruth Russell-Harris;1973-03-29;4730875456940300910,Sylvia Jones-Brown;1999-08-25;584761487035,Pale ale small,300,2019-9-28,2400
Ruth Russell-Harris;1973-03-29;4730875456940300910,Marie Preston;1976-12-28;6011724323439199,Prosecco large,600,2019-9-28,3000
Ruth Russell-Harris;1973-03-29;4730875456940300910,Marie Power;2002-01-30;5236653014789326,Shiraz large,600,2019-9-28,3600
Ruth Russell-Harris;1973-03-29;4730875456940300910,Dr. Martyn Lawrence;1979-06-01;30351135561323,Ale small,300,2019-9-28,3900
Ruth Russell-Harris;1973-03-29;4730875456940300910,Ruth Russell-Harris;1973-03-29;4730875456940300910,Shiraz large,600,2019-9-28,4500
Frances Watkins;1988-08-31;2222981270340614,Marie Preston;1976-12-28;6011724323439199,Coke small,200,2019-5-20,200
Frances Watkins;1988-08-31;2222981270340614,Lawrence Jones;2005-06-10;3537902156094842,Cloudy lemonade large,400,2019-5-20,600
Frances Watkins;1988-08-31;2222981270340614,Gareth Watson;1968-09-14;060453409181,Coke small,200,2019-5-20,800
Frances Watkins;1988-08-31;2222981270340614,Sally Jackson;1975-08-26;6011083979903226,Blackcurrant cordial large,400,2019-5-20,1200
Frances Watkins;1988-08-31;2222981270340614,Ruth Russell-Harris;1973-03-29;4730875456940300910,Lemonade large,400,2019-5-20,1600
Frances Watkins;1988-08-31;2222981270340614,Mrs. Bethan Murray;1986-07-23;2238925746548385,Orange cordial small,200,2019-5-20,1800
Frances Watkins;1988-08-31;2222981270340614,Richard Parsons;1951-04-21;4596293855263047603,Diet Coke small,200,2019-5-20,2000
Frances Watkins;1988-08-31;2222981270340614,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Water small,200,2019-5-20,2200
Frances Watkins;1988-08-31;2222981270340614,Ms. Jean Johnson;1996-04-22;3599621831162106,Lime cordial large,400,2019-5-20,2600
Frances Watkins;1988-08-31;2222981270340614,Sean Osborne-Little;1960-03-13;3554852454832013,Orange cordial large,400,2019-5-20,3000
Frances Watkins;1988-08-31;2222981270340614,Frances Watkins;1988-08-31;2222981270340614,Blackcurrant cordial small,200,2019-5-20,3200
Frances Watkins;1988-08-31;2222981270340614,Shirley Rees;1994-07-25;6527997021478845,Diet Coke large,400,2019-5-20,3600
Frances Watkins;1988-08-31;2222981270340614,Mr. Keith Hilton;1997-09-17;3585697723779617,Cloudy lemonade small,200,2019-5-20,3800
Frances Watkins;1988-08-31;2222981270340614,Mr. Stanley Bell;1997-05-22;376466905927165,Water small,200,2019-5-20,4000
Frances Watkins;1988-08-31;2222981270340614,Lawrence Jones;2005-06-10;3537902156094842,Cloudy lemonade large,400,2019-5-20,4400
Frances Watkins;1988-08-31;2222981270340614,Mr. Stanley Bell;1997-05-22;376466905927165,Water small,200,2019-5-20,4600
Frances Watkins;1988-08-31;2222981270340614,Iain Barker;1997-07-21;3534790658775791,Strawberry milkshake small,200,2019-5-20,4800
Frances Watkins;1988-08-31;2222981270340614,Joan Foster;2000-07-23;30467564114333,Lime cordial large,400,2019-5-20,5200
Frances Watkins;1988-08-31;2222981270340614,Miss Abbie Smith;1954-09-05;4128358166770,Coke small,200,2019-5-20,5400
Frances Watkins;1988-08-31;2222981270340614,Shirley Rees;1994-07-25;6527997021478845,Coke small,200,2019-5-20,5600
Frances Watkins;1988-08-31;2222981270340614,Frances Watkins;1988-08-31;2222981270340614,Sparkling water small,200,2019-5-20,5800
Marian Lane;1980-04-23;373696105572428,Jane Davies;1978-05-29;372961426026780,Coke small,200,2019-11-6,200
Marian Lane;1980-04-23;373696105572428,Philip Miah-Young;1963-11-27;3592857229453650,Blackcurrant cordial large,400,2019-11-6,600
Marian Lane;1980-04-23;373696105572428,Ryan Chapman;1981-12-13;3537198259397469,Coke small,200,2019-11-6,800
Marian Lane;1980-04-23;373696105572428,Tony Martin-Lucas;1984-02-09;060494691672,Fanta large,400,2019-11-6,1200
Marian Lane;1980-04-23;373696105572428,Philip Miah-Young;1963-11-27;3592857229453650,Blackcurrant cordial large,400,2019-11-6,1600
Marian Lane;1980-04-23;373696105572428,Miss Abbie Smith;1954-09-05;4128358166770,Coke small,200,2019-11-6,1800
Marian Lane;1980-04-23;373696105572428,Bethan Gill;1958-06-05;060480577430,Strawberry milkshake large,400,2019-11-6,2200
Marian Lane;1980-04-23;373696105572428,Jack Harvey;1998-05-22;4946896571299186780,Water large,400,2019-11-6,2600
Marian Lane;1980-04-23;373696105572428,Mrs. Jade Allen;1970-05-20;3577687933334659,Sprite large,400,2019-11-6,3000
Marian Lane;1980-04-23;373696105572428,Jessica Pearson;1978-06-22;3527764291507761,Milk small,200,2019-11-6,3200
Marian Lane;1980-04-23;373696105572428,Jemma Davison;1982-06-25;346012372292431,Fanta small,200,2019-11-6,3400
Marian Lane;1980-04-23;373696105572428,Richard Parsons;1951-04-21;4596293855263047603,Banana milkshake large,400,2019-11-6,3800
Marian Lane;1980-04-23;373696105572428,Gareth Watson;1968-09-14;060453409181,Coke small,200,2019-11-6,4000
Marian Lane;1980-04-23;373696105572428,Mrs. Jade Allen;1970-05-20;3577687933334659,Sprite large,400,2019-11-6,4400
Marian Lane;1980-04-23;373696105572428,Joan Foster;2000-07-23;30467564114333,Coke small,200,2019-11-6,4600
Marian Lane;1980-04-23;373696105572428,Miss Abbie Smith;1954-09-05;4128358166770,Coke small,200,2019-11-6,4800
Marian Lane;1980-04-23;373696105572428,Mrs. Bethan Murray;1986-07-23;2238925746548385,Blackcurrant cordial small,200,2019-11-6,5000
Marian Lane;1980-04-23;373696105572428,Lawrence Jones;2005-06-10;3537902156094842,Cloudy lemonade large,400,2019-11-6,5400
Marian Lane;1980-04-23;373696105572428,Mohammad Jones-Wood;1963-05-21;3539333926037846,Sparkling water large,400,2019-11-6,5800
Marian Lane;1980-04-23;373696105572428,Jack Harvey;1998-05-22;4946896571299186780,Milk small,200,2019-11-6,6000
Marian Lane;1980-04-23;373696105572428,Rachael Lewis;1984-07-20;377222245845446,Lemonade small,200,2019-11-6,6200
Marian Lane;1980-04-23;373696105572428,Joan Foster;2000-07-23;30467564114333,Banana milkshake large,400,2019-11-6,6600
Marian Lane;1980-04-23;373696105572428,Katy Lee;1981-07-04;4895703194202888004,Coke large,400,2019-11-6,7000
Marian Lane;1980-04-23;373696105572428,Marian Lane;1980-04-23;373696105572428,Sprite large,400,2019-11-6,7400
Sally Jackson;1975-08-26;6011083979903226,Anna Buckley-Patel;1967-09-25;6011330523439128,Blackcurrant cordial small,200,2019-7-22,200
Sally Jackson;1975-08-26;6011083979903226,Jessica Pearson;1978-06-22;3527764291507761,Milk small,200,2019-7-22,400
Sally Jackson;1975-08-26;6011083979903226,Terence Hall;1982-04-23;4440881107798798,Cloudy lemonade large,400,2019-7-22,800
Sally Jackson;1975-08-26;6011083979903226,Dr. Caroline Morris;1967-06-03;4982238351886255393,Fanta large,400,2019-7-22,1200
Sally Jackson;1975-08-26;6011083979903226,Shirley Rees;1994-07-25;6527997021478845,Coke small,200,2019-7-22,1400
Sally Jackson;1975-08-26;6011083979903226,Tony Martin-Lucas;1984-02-09;060494691672,Fanta large,400,2019-7-22,1800
Sally Jackson;1975-08-26;6011083979903226,Dr. Martyn Lawrence;1979-06-01;30351135561323,Cloudy lemonade small,200,2019-7-22,2000
Sally Jackson;1975-08-26;6011083979903226,Dr. Martyn Lawrence;1979-06-01;30351135561323,Cloudy lemonade small,200,2019-7-22,2200
Sally Jackson;1975-08-26;6011083979903226,Mrs. Bethan Murray;1986-07-23;2238925746548385,Lime cordial large,400,2019-7-22,2600
Sally Jackson;1975-08-26;6011083979903226,Mr. Keith Hilton;1997-09-17;3585697723779617,Cloudy lemonade small,200,2019-7-22,2800
Sally Jackson;1975-08-26;6011083979903226,Joan Foster;2000-07-23;30467564114333,Banana milkshake large,400,2019-7-22,3200
Sally Jackson;1975-08-26;6011083979903226,Gareth Watson;1968-09-14;060453409181,Coke small,200,2019-7-22,3400
Sally Jackson;1975-08-26;6011083979903226,Sally Jackson;1975-08-26;6011083979903226,Blackcurrant cordial large,400,2019-7-22,3800
Sally Jackson;1975-08-26;6011083979903226,Dr. Gemma Cooper;1968-01-15;4338315934240869,Diet Coke small,200,2019-7-22,4000
Sally Jackson;1975-08-26;6011083979903226,Philip Miah-Young;1963-11-27;3592857229453650,Strawberry milkshake large,400,2019-7-22,4400
Sally Jackson;1975-08-26;6011083979903226,Dr. Douglas King;1974-03-16;3581139211845125,Diet Coke large,400,2019-7-22,4800
Sally Jackson;1975-08-26;6011083979903226,Mr. Stanley Bell;1997-05-22;376466905927165,Water small,200,2019-7-22,5000
Sally Jackson;1975-08-26;6011083979903226,Dr. Gemma Cooper;1968-01-15;4338315934240869,Diet Coke small,200,2019-7-22,5200
Sally Jackson;1975-08-26;6011083979903226,Frances Watkins;1988-08-31;2222981270340614,Sparkling water small,200,2019-7-22,5400
Sally Jackson;1975-08-26;6011083979903226,Mrs. Jade Allen;1970-05-20;3577687933334659,Orange cordial small,200,2019-7-22,5600
Sally Jackson;1975-08-26;6011083979903226,Rachael Lewis;1984-07-20;377222245845446,Lemonade small,200,2019-7-22,5800
Sally Jackson;1975-08-26;6011083979903226,Michelle Waters;1984-01-14;6545699347248609,Diet Coke small,200,2019-7-22,6000
Sally Jackson;1975-08-26;6011083979903226,Sally Jackson;1975-08-26;6011083979903226,Lemonade large,400,2019-7-22,6400
Mrs. Jade Allen;1970-05-20;3577687933334659,Michelle Waters;1984-01-14;6545699347248609,Instant Coffee with sugar,250,2020-2-1,250
Mrs. Jade Allen;1970-05-20;3577687933334659,Jemma Davison;1982-06-25;346012372292431,Espresso,150,2020-2-1,400
Mrs. Jade Allen;1970-05-20;3577687933334659,Bethan Gill;1958-06-05;060480577430,Macciato,250,2020-2-1,650
Mrs. Jade Allen;1970-05-20;3577687933334659,Benjamin Morgan;1960-09-26;676301009368,Lemon tea,250,2020-2-1,900
Mrs. Jade Allen;1970-05-20;3577687933334659,Neil Walters;1991-02-14;30153298849283,Green Tea with sugar,250,2020-2-1,1150
Mrs. Jade Allen;1970-05-20;3577687933334659,Danny Clark;1999-03-25;6011085906067876,Americano,250,2020-2-1,1400
Mrs. Jade Allen;1970-05-20;3577687933334659,Benjamin Morgan;1960-09-26;676301009368,Espresso with sugar,250,2020-2-1,1650
Mrs. Jade Allen;1970-05-20;3577687933334659,Marie Preston;1976-12-28;6011724323439199,Herbal tea extra milk,280,2020-2-1,1930
Mrs. Jade Allen;1970-05-20;3577687933334659,Mrs. Jade Allen;1970-05-20;3577687933334659,Tea extra milk,280,2020-2-1,2210
Mrs. Jade Allen;1970-05-20;3577687933334659,Philip Miah-Young;1963-11-27;3592857229453650,Espresso,150,2020-2-1,2360
Mrs. Jade Allen;1970-05-20;3577687933334659,Marian Lane;1980-04-23;373696105572428,Macciato,250,2020-2-1,2610
Mrs. Jade Allen;1970-05-20;3577687933334659,Lawrence Fisher;1983-09-19;3566273828670227,Instant Coffee with sugar,250,2020-2-1,2860
Mrs. Jade Allen;1970-05-20;3577687933334659,Dr. Martyn Lawrence;1979-06-01;30351135561323,Macciato with sugar,250,2020-2-1,3110
Mrs. Jade Allen;1970-05-20;3577687933334659,Iain Barker;1997-07-21;3534790658775791,Earl Grey,250,2020-2-1,3360
Mrs. Jade Allen;1970-05-20;3577687933334659,Anna Buckley-Patel;1967-09-25;6011330523439128,Capuccino,250,2020-2-1,3610
Mrs. Jade Allen;1970-05-20;3577687933334659,Shirley Rees;1994-07-25;6527997021478845,Americano,250,2020-2-1,3860
Mrs. Jade Allen;1970-05-20;3577687933334659,Shirley Rees;1994-07-25;6527997021478845,Americano,250,2020-2-1,4110
Mrs. Jade Allen;1970-05-20;3577687933334659,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Double espresso with sugar,250,2020-2-1,4360
Mrs. Jade Allen;1970-05-20;3577687933334659,Jessica Pearson;1978-06-22;3527764291507761,Flat white,250,2020-2-1,4610
Mrs. Jade Allen;1970-05-20;3577687933334659,Dr. Jessica Joyce;1959-11-08;343670554272167,Tea,250,2020-2-1,4860
Mrs. Jade Allen;1970-05-20;3577687933334659,Miss Lindsey Harrison;1948-08-25;30476153140377,Tea with sugar,250,2020-2-1,5110
Mrs. Jade Allen;1970-05-20;3577687933334659,Dr. Caroline Morris;1967-06-03;4982238351886255393,Capuccino,250,2020-2-1,5360
Mrs. Jade Allen;1970-05-20;3577687933334659,Gareth Watson;1968-09-14;060453409181,Espresso,150,2020-2-1,5510
Mrs. Jade Allen;1970-05-20;3577687933334659,Ryan Chapman;1981-12-13;3537198259397469,Earl Grey,250,2020-2-1,5760
Mrs. Jade Allen;1970-05-20;3577687933334659,Jane Davies;1978-05-29;372961426026780,Double espresso extra milk,280,2020-2-1,6040
Mrs. Jade Allen;1970-05-20;3577687933334659,Mrs. Jade Allen;1970-05-20;3577687933334659,Tea extra milk,280,2020-2-1,6320
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Dr. Jessica Joyce;1959-11-08;343670554272167,Pale ale small,300,2019-11-6,300
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Neil Walters;1991-02-14;30153298849283,Whisky & Soda small,400,2019-11-6,700
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Ale large,600,2019-11-6,1300
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Marie Power;2002-01-30;5236653014789326,Shiraz large,600,2019-11-6,1900
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Jane Davies;1978-05-29;372961426026780,Scotch large,600,2019-11-6,2500
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Mohammad Jones-Wood;1963-05-21;3539333926037846,House white large,600,2019-11-6,3100
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Katy Lee;1981-07-04;4895703194202888004,Prosecco small,300,2019-11-6,3400
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Marie Power;2002-01-30;5236653014789326,Shiraz large,600,2019-11-6,4000
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Jane Davies;1978-05-29;372961426026780,Gin & Tonic small,400,2019-11-6,4400
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Mrs. Jade Allen;1970-05-20;3577687933334659,Champagne large,800,2019-11-6,5200
Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2019-11-6,6000
Benjamin Morgan;1960-09-26;676301009368,Philip Miah-Young;1963-11-27;3592857229453650,Champagne large,800,2020-3-27,800
Benjamin Morgan;1960-09-26;676301009368,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Ale large,600,2020-3-27,1400
Benjamin Morgan;1960-09-26;676301009368,Ryan Chapman;1981-12-13;3537198259397469,Prosecco large,600,2020-3-27,2000
Benjamin Morgan;1960-09-26;676301009368,Jemma Davison;1982-06-25;346012372292431,Champagne large,800,2020-3-27,2800
Benjamin Morgan;1960-09-26;676301009368,Ms. Sara Thompson;1986-03-24;371802005619325,Shiraz small,300,2020-3-27,3100
Benjamin Morgan;1960-09-26;676301009368,Sally Jackson;1975-08-26;6011083979903226,Vodka Tonic large,600,2020-3-27,3700
Benjamin Morgan;1960-09-26;676301009368,Mohammad Jones-Wood;1963-05-21;3539333926037846,House white large,600,2020-3-27,4300
Benjamin Morgan;1960-09-26;676301009368,Neil Walters;1991-02-14;30153298849283,Whisky & Soda small,400,2020-3-27,4700
Benjamin Morgan;1960-09-26;676301009368,Mr. Keith Hilton;1997-09-17;3585697723779617,Gin & Tonic large,800,2020-3-27,5500
Benjamin Morgan;1960-09-26;676301009368,Jemma Davison;1982-06-25;346012372292431,Champagne large,800,2020-3-27,6300
Benjamin Morgan;1960-09-26;676301009368,Lawrence Jones;2005-06-10;3537902156094842,Gin & Tonic small,400,2020-3-27,6700
Benjamin Morgan;1960-09-26;676301009368,Richard Parsons;1951-04-21;4596293855263047603,Prosecco large,600,2020-3-27,7300
Benjamin Morgan;1960-09-26;676301009368,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2020-3-27,8100
Benjamin Morgan;1960-09-26;676301009368,Sally Jackson;1975-08-26;6011083979903226,Vodka Tonic large,600,2020-3-27,8700
Benjamin Morgan;1960-09-26;676301009368,Marie Preston;1976-12-28;6011724323439199,Prosecco large,600,2020-3-27,9300
Benjamin Morgan;1960-09-26;676301009368,Danny Clark;1999-03-25;6011085906067876,Prosecco small,300,2020-3-27,9600
Benjamin Morgan;1960-09-26;676301009368,Ryan Chapman;1981-12-13;3537198259397469,Prosecco large,600,2020-3-27,10200
Benjamin Morgan;1960-09-26;676301009368,Dr. Gemma Cooper;1968-01-15;4338315934240869,Ale large,600,2020-3-27,10800
Benjamin Morgan;1960-09-26;676301009368,Shirley Rees;1994-07-25;6527997021478845,Chianti small,400,2020-3-27,11200
Benjamin Morgan;1960-09-26;676301009368,Bethan Gill;1958-06-05;060480577430,Champagne large,800,2020-3-27,12000
Benjamin Morgan;1960-09-26;676301009368,Mohammad Jones-Wood;1963-05-21;3539333926037846,House white large,600,2020-3-27,12600
Benjamin Morgan;1960-09-26;676301009368,Miss Lindsey Harrison;1948-08-25;30476153140377,Scotch small,300,2020-3-27,12900
Benjamin Morgan;1960-09-26;676301009368,Sally Jackson;1975-08-26;6011083979903226,Vodka Tonic large,600,2020-3-27,13500
Benjamin Morgan;1960-09-26;676301009368,Rachael Lewis;1984-07-20;377222245845446,Prosecco large,600,2020-3-27,14100
Benjamin Morgan;1960-09-26;676301009368,Mr. Keith Hilton;1997-09-17;3585697723779617,Gin & Tonic large,800,2020-3-27,14900
Benjamin Morgan;1960-09-26;676301009368,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2020-3-27,15700
Benjamin Morgan;1960-09-26;676301009368,Benjamin Morgan;1960-09-26;676301009368,Champagne small,400,2020-3-27,16100
Benjamin Morgan;1960-09-26;676301009368,Mr. Stanley Bell;1997-05-22;376466905927165,Earl Grey with sugar,250,2019-8-8,250
Benjamin Morgan;1960-09-26;676301009368,Marian Lane;1980-04-23;373696105572428,Macciato,250,2019-8-8,500
Benjamin Morgan;1960-09-26;676301009368,Ms. Elizabeth French;1974-12-19;630456409964,Capuccino with sugar,250,2019-8-8,750
Benjamin Morgan;1960-09-26;676301009368,Philip Miah-Young;1963-11-27;3592857229453650,Espresso,150,2019-8-8,900
Benjamin Morgan;1960-09-26;676301009368,Terence Hall;1982-04-23;4440881107798798,Earl Grey extra milk,280,2019-8-8,1180
Benjamin Morgan;1960-09-26;676301009368,Karen Thompson;1976-05-29;4879429054644775960,Americano,250,2019-8-8,1430
Benjamin Morgan;1960-09-26;676301009368,Marian Lane;1980-04-23;373696105572428,Macciato,250,2019-8-8,1680
Benjamin Morgan;1960-09-26;676301009368,Mr. Keith Hilton;1997-09-17;3585697723779617,Espresso extra milk,280,2019-8-8,1960
Benjamin Morgan;1960-09-26;676301009368,Mrs. Bethan Murray;1986-07-23;2238925746548385,Flat white,250,2019-8-8,2210
Benjamin Morgan;1960-09-26;676301009368,Sylvia Jones-Brown;1999-08-25;584761487035,Herbal tea extra milk,280,2019-8-8,2490
Benjamin Morgan;1960-09-26;676301009368,Danny Clark;1999-03-25;6011085906067876,Americano,250,2019-8-8,2740
Benjamin Morgan;1960-09-26;676301009368,Marie Power;2002-01-30;5236653014789326,Americano,250,2019-8-8,2990
Benjamin Morgan;1960-09-26;676301009368,Ms. Sara Thompson;1986-03-24;371802005619325,Espresso,150,2019-8-8,3140
Benjamin Morgan;1960-09-26;676301009368,Dr. Douglas King;1974-03-16;3581139211845125,Earl Grey,250,2019-8-8,3390
Benjamin Morgan;1960-09-26;676301009368,Miss Lindsey Harrison;1948-08-25;30476153140377,Tea with sugar,250,2019-8-8,3640
Benjamin Morgan;1960-09-26;676301009368,Mr. Stanley Bell;1997-05-22;376466905927165,Earl Grey with sugar,250,2019-8-8,3890
Benjamin Morgan;1960-09-26;676301009368,Miss Abbie Smith;1954-09-05;4128358166770,Macciato extra milk,280,2019-8-8,4170
Benjamin Morgan;1960-09-26;676301009368,Jessica Pearson;1978-06-22;3527764291507761,Flat white,250,2019-8-8,4420
Benjamin Morgan;1960-09-26;676301009368,Shirley Rees;1994-07-25;6527997021478845,Americano,250,2019-8-8,4670
Benjamin Morgan;1960-09-26;676301009368,Benjamin Morgan;1960-09-26;676301009368,Lemon tea,250,2019-8-8,4920
Dr. Gemma Cooper;1968-01-15;4338315934240869,Katy Lee;1981-07-04;4895703194202888004,Orange cordial large,400,2019-7-9,400
Dr. Gemma Cooper;1968-01-15;4338315934240869,Bethan Gill;1958-06-05;060480577430,Strawberry milkshake large,400,2019-7-9,800
Dr. Gemma Cooper;1968-01-15;4338315934240869,Mr. Keith Hilton;1997-09-17;3585697723779617,Cloudy lemonade small,200,2019-7-9,1000
Dr. Gemma Cooper;1968-01-15;4338315934240869,Anna Buckley-Patel;1967-09-25;6011330523439128,Blackcurrant cordial small,200,2019-7-9,1200
Dr. Gemma Cooper;1968-01-15;4338315934240869,Terence Hall;1982-04-23;4440881107798798,Milk large,400,2019-7-9,1600
Dr. Gemma Cooper;1968-01-15;4338315934240869,Terence Hall;1982-04-23;4440881107798798,Cloudy lemonade large,400,2019-7-9,2000
Dr. Gemma Cooper;1968-01-15;4338315934240869,Sylvia Jones-Brown;1999-08-25;584761487035,Water small,200,2019-7-9,2200
Dr. Gemma Cooper;1968-01-15;4338315934240869,Michelle Waters;1984-01-14;6545699347248609,Coke Zero small,200,2019-7-9,2400
Dr. Gemma Cooper;1968-01-15;4338315934240869,Frances Watkins;1988-08-31;2222981270340614,Sparkling water small,200,2019-7-9,2600
Dr. Gemma Cooper;1968-01-15;4338315934240869,Cheryl Sutton;1968-11-24;6011950657786745,Milk large,400,2019-7-9,3000
Dr. Gemma Cooper;1968-01-15;4338315934240869,Mrs. Jade Allen;1970-05-20;3577687933334659,Strawberry milkshake large,400,2019-7-9,3400
Dr. Gemma Cooper;1968-01-15;4338315934240869,Richard Parsons;1951-04-21;4596293855263047603,Banana milkshake large,400,2019-7-9,3800
Dr. Gemma Cooper;1968-01-15;4338315934240869,Jane Davies;1978-05-29;372961426026780,Coke small,200,2019-7-9,4000
Dr. Gemma Cooper;1968-01-15;4338315934240869,Mr. Stanley Bell;1997-05-22;376466905927165,Water small,200,2019-7-9,4200
Dr. Gemma Cooper;1968-01-15;4338315934240869,Ms. Jean Johnson;1996-04-22;3599621831162106,Lime cordial large,400,2019-7-9,4600
Dr. Gemma Cooper;1968-01-15;4338315934240869,Dr. Gemma Cooper;1968-01-15;4338315934240869,Diet Coke small,200,2019-7-9,4800
Miss Jenna Hopkins;1970-09-16;371201862580821,Mohammad Jones-Wood;1963-05-21;3539333926037846,House white large,600,2019-6-9,600
